WigleWifi-1.4,appRelease=2.26,model=ONEPLUS A3010,release=7.1.1,device=OnePlus3T,display=ONEPLUS A3010_28_171012,board=QC_Reference_Phone,brand=OnePlus
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
1c:b9:c4:15:41:f8,Ariel_University,[ESS],2017-11-01 14:36:16,1,-79,32.1043794,35.20688328,671,4.550999641418457,WIFI
ec:8c:a2:88:95:87,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:36:16,52,-78,32.1043794,35.20688328,671,4.550999641418457,WIFI
ec:8c:a2:08:95:88,Ariel_University,[ESS],2017-11-01 14:36:16,1,-78,32.1043794,35.20688328,671,4.550999641418457,WIFI
ec:8c:a2:09:8c:68,Ariel_University,[ESS],2017-11-01 14:36:16,1,-82,32.1043794,35.20688328,671,4.550999641418457,WIFI
1c:b9:c4:15:fd:68,Ariel_University,[ESS],2017-11-01 14:36:16,11,-80,32.1043794,35.20688328,671,4.550999641418457,WIFI
1c:b9:c4:16:ed:f8,Ariel_University,[ESS],2017-11-01 14:36:16,1,-80,32.1043794,35.20688328,671,4.550999641418457,WIFI
1c:b9:c4:96:cc:a7,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:36:25,44,-88,32.10424312,35.20691081,670,4.550999641418457,WIFI
1c:b9:c4:55:44:73,island-154470,[WPA2-PSK-CCMP][ESS],2017-11-01 14:36:37,8,-84,32.10406198,35.20689818,670,6.067999839782715,WIFI
1c:b9:c4:16:ec:58,Ariel_University,[ESS],2017-11-01 14:36:37,6,-88,32.10406198,35.20689818,670,6.067999839782715,WIFI
1c:b9:c4:16:06:3c,Ariel_University,[ESS],2017-11-01 14:36:41,36,-90,32.10402433,35.20681703,669,7.585000038146973,WIFI
1c:b9:c4:15:36:8c,Ariel_University,[ESS],2017-11-01 14:36:50,36,-89,32.1039271,35.2067212,669,6.067999839782715,WIFI
00:25:86:cc:00:f8,AUC_54_R,[ESS],2017-11-01 14:36:50,5,-73,32.1039271,35.2067212,669,6.067999839782715,WIFI
00:25:86:cc:07:b2,KCG_54,[ESS],2017-11-01 14:36:50,2,-80,32.1039271,35.2067212,669,6.067999839782715,WIFI
ec:8c:a2:08:a3:28,Ariel_University,[ESS],2017-11-01 14:36:50,11,-88,32.1039271,35.2067212,669,6.067999839782715,WIFI
1c:b9:c4:16:ec:5c,Ariel_University,[ESS],2017-11-01 14:36:50,44,-85,32.1039271,35.2067212,669,6.067999839782715,WIFI
